              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     252.254       0.628      20.196      47.703
     254.258       0.591      20.223      47.703
     256.263       0.555      20.250      47.702
     258.268       0.520      20.276      47.702
     260.273       0.485      20.303      47.701
     262.278       0.451      20.330      47.701
     264.283       0.417      20.356      47.701
     266.288       0.374      20.383      47.700
     268.300       0.342      20.410      47.699
     270.305       0.310      20.437      47.699
     272.310       0.269      20.463      47.698
     274.315       0.228      20.490      47.698
     276.320       0.199      20.517      47.697
     278.326       0.159      20.543      47.697
     280.331       0.120      20.570      47.696
     282.336       0.082      20.597      47.695
     284.342       0.056      20.623      47.695
     286.347       0.019      20.650      47.694
     288.353      -0.017      20.677      47.694
     290.358      -0.053      20.704      47.693
     292.364      -0.098      20.730      47.692
     294.369      -0.132      20.757      47.692
     296.375      -0.165      20.784      47.691
     298.381      -0.198      20.810      47.691
     300.386      -0.241      20.837      47.690
     302.392      -0.272      20.864      47.689
     304.398      -0.314      20.890      47.689
     306.404      -0.343      20.917      47.688
     308.410      -0.383      20.944      47.687
     310.416      -0.423      20.971      47.687
     312.422      -0.461      20.997      47.686
     314.428      -0.489      21.024      47.685
     316.427      -0.526      21.051      47.685
     318.433      -0.563      21.077      47.684
     320.439      -0.598      21.104      47.683
     322.445      -0.634      21.131      47.682
     324.452      -0.679      21.157      47.682
     326.458      -0.713      21.184      47.681
     328.465      -0.746      21.211      47.680
     330.471      -0.779      21.237      47.680
     332.478      -0.821      21.264      47.679
     334.477      -0.852      21.291      47.678
     336.484      -0.894      21.317      47.677
     338.491      -0.935      21.344      47.676
     340.497      -0.963      21.371      47.676
     342.504      -1.003      21.397      47.675
     344.504      -1.042      21.424      47.674
     346.511      -1.079      21.451      47.673
     348.518      -1.105      21.478      47.673
     350.525      -1.142      21.504      47.672
     352.532      -1.177      21.531      47.671
     354.532      -1.224      21.558      47.670
     356.540      -1.258      21.584      47.669
     358.547      -1.292      21.611      47.669
     360.554      -1.325      21.638      47.668
     362.555      -1.368      21.664      47.667
     364.562      -1.400      21.691      47.666
     366.570      -1.442      21.718      47.665
     368.577      -1.472      21.744      47.664
     370.578      -1.512      21.771      47.664
     372.585      -1.541      21.798      47.663
     374.594      -1.580      21.824      47.662
     376.594      -1.619      21.851      47.661
     378.602      -1.657      21.878      47.660
     380.610      -1.694      21.904      47.659
     382.611      -1.730      21.931      47.658
     384.619      -1.766      21.958      47.657
     386.628      -1.801      21.984      47.656
     388.628      -1.835      22.011      47.655
     390.637      -1.869      22.038      47.655
     392.638      -1.901      22.064      47.654
     394.647      -1.945      22.091      47.653
     396.655      -1.976      22.118      47.652
     398.657      -2.018      22.144      47.651
     400.665      -2.048      22.171      47.650
     402.667      -2.089      22.198      47.649
     404.676      -2.128      22.224      47.648
     406.677      -2.157      22.251      47.647
     408.687      -2.195      22.278      47.646
     410.688      -2.232      22.304      47.645
     412.698      -2.269      22.331      47.644
     414.700      -2.306      22.357      47.643
     416.709      -2.341      22.384      47.642
     418.711      -2.376      22.411      47.641
     420.721      -2.410      22.437      47.640
     422.723      -2.455      22.464      47.639
     424.733      -2.487      22.491      47.638
      -4.420       7.310      16.775      47.733
      -2.417       7.272      16.801      47.733
      -0.414       7.234      16.828      47.733
       1.596       7.198      16.855      47.734
       3.599       7.162      16.882      47.734
       5.602       7.126      16.908      47.734
       7.613       7.092      16.935      47.735
       9.616       7.058      16.962      47.735
      11.619       7.025      16.989      47.735
      13.629       6.981      17.015      47.735
      15.632       6.949      17.042      47.736
      17.635       6.907      17.069      47.736
      19.646       6.876      17.096      47.736
      21.648       6.836      17.122      47.736
      23.659       6.795      17.149      47.737
      25.662       6.767      17.176      47.737
      27.664       6.729      17.202      47.737
      29.675       6.691      17.229      47.737
      31.677       6.653      17.256      47.737
      33.680       6.617      17.283      47.738
