CMDLINE /users/p6065/anaconda3/envs/supergeo/bin/python3.9 seqproc_test.py
MEM 260.070312 1669892494.7366
MEM 260.070312 1669892494.8372
MEM 260.070312 1669892494.9376
MEM 260.070312 1669892495.0381
MEM 260.070312 1669892495.1387
MEM 260.070312 1669892495.2392
MEM 260.070312 1669892495.3398
MEM 260.070312 1669892495.4403
MEM 260.070312 1669892495.5407
MEM 260.070312 1669892495.6412
MEM 260.070312 1669892495.7417
MEM 260.070312 1669892495.8421
MEM 260.070312 1669892495.9426
MEM 260.070312 1669892496.0430
MEM 260.070312 1669892496.1434
MEM 260.070312 1669892496.2439
MEM 260.070312 1669892496.3444
MEM 260.070312 1669892496.4448
MEM 260.070312 1669892496.5454
MEM 260.070312 1669892496.6458
MEM 260.070312 1669892496.7462
MEM 260.070312 1669892496.8467
MEM 260.070312 1669892496.9471
MEM 260.070312 1669892497.0476
MEM 260.070312 1669892497.1481
MEM 260.070312 1669892497.2486
MEM 260.070312 1669892497.3491
MEM 260.070312 1669892497.4497
MEM 260.070312 1669892497.5502
MEM 260.070312 1669892497.6507
MEM 260.070312 1669892497.7512
MEM 260.070312 1669892497.8517
MEM 260.070312 1669892497.9521
MEM 260.070312 1669892498.0526
MEM 260.070312 1669892498.1530
MEM 260.070312 1669892498.2535
MEM 260.070312 1669892498.3540
MEM 260.070312 1669892498.4545
MEM 260.070312 1669892498.5551
MEM 260.070312 1669892498.6555
MEM 260.070312 1669892498.7561
MEM 260.070312 1669892498.8566
MEM 260.070312 1669892498.9571
MEM 260.070312 1669892499.0575
MEM 260.070312 1669892499.1579
MEM 260.070312 1669892499.2584
MEM 260.070312 1669892499.3588
MEM 260.070312 1669892499.4593
MEM 260.070312 1669892499.5599
MEM 260.070312 1669892499.6604
MEM 260.070312 1669892499.7608
MEM 260.070312 1669892499.8613
MEM 260.070312 1669892499.9617
MEM 260.070312 1669892500.0622
MEM 260.070312 1669892500.1627
MEM 260.070312 1669892500.2631
MEM 260.070312 1669892500.3636
MEM 260.070312 1669892500.4641
MEM 260.070312 1669892500.5645
MEM 260.070312 1669892500.6650
MEM 260.070312 1669892500.7656
MEM 260.070312 1669892500.8662
MEM 260.070312 1669892500.9667
MEM 260.070312 1669892501.0672
MEM 260.070312 1669892501.1677
MEM 260.070312 1669892501.2682
MEM 260.070312 1669892501.3686
MEM 260.070312 1669892501.4691
MEM 260.070312 1669892501.5695
MEM 260.070312 1669892501.6701
MEM 260.070312 1669892501.7706
MEM 260.070312 1669892501.8712
MEM 260.070312 1669892501.9717
MEM 260.070312 1669892502.0722
MEM 260.070312 1669892502.1726
MEM 260.070312 1669892502.2731
MEM 260.070312 1669892502.3735
MEM 260.070312 1669892502.4740
MEM 260.070312 1669892502.5744
MEM 260.070312 1669892502.6749
MEM 260.070312 1669892502.7754
MEM 260.070312 1669892502.8759
MEM 260.070312 1669892502.9764
MEM 260.070312 1669892503.0769
MEM 260.070312 1669892503.1774
MEM 260.070312 1669892503.2779
MEM 260.070312 1669892503.3783
MEM 260.070312 1669892503.4787
MEM 260.070312 1669892503.5792
MEM 260.070312 1669892503.6797
MEM 260.070312 1669892503.7802
MEM 260.070312 1669892503.8807
MEM 260.070312 1669892503.9812
MEM 260.070312 1669892504.0818
MEM 260.070312 1669892504.1823
MEM 260.070312 1669892504.2828
MEM 260.070312 1669892504.3832
MEM 260.070312 1669892504.4837
MEM 260.070312 1669892504.5841
MEM 260.070312 1669892504.6846
MEM 260.070312 1669892504.7851
MEM 260.070312 1669892504.8855
MEM 260.070312 1669892504.9861
MEM 260.070312 1669892505.0866
MEM 260.070312 1669892505.1872
MEM 260.070312 1669892505.2877
MEM 260.070312 1669892505.3882
MEM 260.070312 1669892505.4887
MEM 260.070312 1669892505.5891
MEM 260.070312 1669892505.6896
MEM 260.070312 1669892505.7901
MEM 260.070312 1669892505.8908
MEM 260.070312 1669892505.9913
MEM 260.070312 1669892506.0918
MEM 260.070312 1669892506.1923
MEM 260.070312 1669892506.2928
MEM 260.070312 1669892506.3933
MEM 260.070312 1669892506.4938
MEM 260.070312 1669892506.5943
MEM 260.070312 1669892506.6947
MEM 260.070312 1669892506.7952
MEM 260.070312 1669892506.8956
MEM 260.070312 1669892506.9961
MEM 260.070312 1669892507.0966
MEM 260.070312 1669892507.1972
MEM 260.070312 1669892507.2977
MEM 260.070312 1669892507.3982
MEM 260.070312 1669892507.4987
MEM 260.070312 1669892507.5992
MEM 260.070312 1669892507.6997
MEM 260.070312 1669892507.8001
MEM 260.070312 1669892507.9006
MEM 260.070312 1669892508.0011
MEM 260.070312 1669892508.1015
MEM 260.070312 1669892508.2021
MEM 260.070312 1669892508.3027
MEM 260.070312 1669892508.4032
MEM 260.070312 1669892508.5037
MEM 260.070312 1669892508.6042
MEM 260.070312 1669892508.7047
MEM 260.070312 1669892508.8051
MEM 260.070312 1669892508.9056
MEM 260.070312 1669892509.0060
MEM 260.070312 1669892509.1065
MEM 260.070312 1669892509.2069
MEM 260.070312 1669892509.3075
MEM 260.070312 1669892509.4080
MEM 260.070312 1669892509.5085
MEM 260.070312 1669892509.6091
MEM 260.070312 1669892509.7096
MEM 260.070312 1669892509.8101
MEM 260.070312 1669892509.9105
MEM 260.070312 1669892510.0111
MEM 260.070312 1669892510.1116
MEM 260.070312 1669892510.2120
MEM 260.070312 1669892510.3125
MEM 260.070312 1669892510.4131
MEM 260.070312 1669892510.5136
MEM 260.070312 1669892510.6141
MEM 260.070312 1669892510.7147
MEM 260.070312 1669892510.8151
MEM 260.070312 1669892510.9156
MEM 260.070312 1669892511.0160
MEM 260.070312 1669892511.1165
MEM 260.070312 1669892511.2169
MEM 260.070312 1669892511.3173
MEM 260.070312 1669892511.4178
MEM 260.070312 1669892511.5183
MEM 260.070312 1669892511.6188
MEM 260.070312 1669892511.7193
MEM 260.070312 1669892511.8198
MEM 260.070312 1669892511.9203
MEM 260.070312 1669892512.0207
MEM 260.070312 1669892512.1212
MEM 260.070312 1669892512.2216
MEM 260.070312 1669892512.3221
MEM 260.070312 1669892512.4225
MEM 260.070312 1669892512.5231
MEM 260.070312 1669892512.6237
MEM 260.070312 1669892512.7242
MEM 260.070312 1669892512.8247
MEM 260.070312 1669892512.9252
MEM 260.070312 1669892513.0256
MEM 260.070312 1669892513.1261
MEM 260.070312 1669892513.2265
MEM 260.070312 1669892513.3270
MEM 260.070312 1669892513.4275
MEM 260.070312 1669892513.5279
MEM 260.070312 1669892513.6284
MEM 260.070312 1669892513.7290
MEM 260.070312 1669892513.8295
MEM 260.070312 1669892513.9300
MEM 260.070312 1669892514.0305
MEM 260.070312 1669892514.1310
MEM 260.070312 1669892514.2314
MEM 260.070312 1669892514.3319
MEM 260.070312 1669892514.4323
MEM 260.070312 1669892514.5328
MEM 260.070312 1669892514.6333
MEM 260.070312 1669892514.7338
MEM 260.070312 1669892514.8344
MEM 260.070312 1669892514.9349
MEM 260.070312 1669892515.0355
MEM 260.070312 1669892515.1359
